47.4384 	EXP 	slider: markerPos = 6.008333333333333
47.4546 	EXP 	slider: markerPos = 6.008333333333333
47.4707 	EXP 	slider: markerPos = 6.008333333333333
47.4872 	EXP 	slider: markerPos = 6.008333333333333
47.5047 	EXP 	slider: markerPos = 6.008333333333333
47.5064 	DATA 	Mouse:  Left button up, pos=(961,174)
47.5215 	EXP 	slider: markerPos = 6.008333333333333
47.5215 	EXP 	slider: rating = 6.008333333333333
47.5215 	EXP 	unnamed Circle: pos = array([[ 0.26777778, -0.3       ]])
47.5241 	EXP 	New trial (rep=0, index=13): OrderedDict([('color1', 'orange'), ('color2', 'azure'), ('color1a', 'orange.png'), ('color2a', 'azure.png')])
47.5540 	EXP 	image: autoDraw = False
47.5540 	EXP 	image_2: autoDraw = False
47.5540 	EXP 	slider: autoDraw = False
47.5540 	EXP 	text: autoDraw = False
47.5540 	EXP 	image: image = 'orange.png'
47.5540 	EXP 	image_2: image = 'azure.png'
47.5540 	EXP 	slider: markerPos = None
47.5540 	EXP 	slider: markerPos = None
47.5540 	EXP 	slider: rating = None
47.5540 	EXP 	image: autoDraw = True
47.5540 	EXP 	image_2: autoDraw = True
47.5540 	EXP 	slider: autoDraw = True
47.5540 	EXP 	text: autoDraw = True
50.0904 	DATA 	Mouse: Left button down, pos=(961,175)
50.1045 	EXP 	slider: markerPos = 6.008333333333333
50.1045 	EXP 	unnamed Circle: pos = array([[ 0.26777778, -0.3       ]])
50.1213 	EXP 	slider: markerPos = 6.008333333333333
50.1372 	EXP 	slider: markerPos = 6.008333333333333
50.1544 	EXP 	slider: markerPos = 6.008333333333333
50.1711 	EXP 	slider: markerPos = 6.008333333333333
50.1881 	EXP 	slider: markerPos = 6.008333333333333
50.2045 	EXP 	slider: markerPos = 6.008333333333333
50.2217 	EXP 	slider: markerPos = 6.008333333333333
50.2236 	DATA 	Mouse:  Left button up, pos=(961,175)
50.2359 	EXP 	slider: markerPos = 6.008333333333333
50.2359 	EXP 	slider: rating = 6.008333333333333
50.2359 	EXP 	unnamed Circle: pos = array([[ 0.26777778, -0.3       ]])
50.2385 	EXP 	New trial (rep=0, index=14): OrderedDict([('color1', 'magenta'), ('color2', 'green'), ('color1a', 'magenta.png'), ('color2a', 'green.png')])
50.2537 	EXP 	image: autoDraw = False
50.2537 	EXP 	image_2: autoDraw = False
50.2537 	EXP 	slider: autoDraw = False
50.2537 	EXP 	text: autoDraw = False
50.2537 	EXP 	image: image = 'magenta.png'
50.2537 	EXP 	image_2: image = 'green.png'
50.2537 	EXP 	slider: markerPos = None
50.2537 	EXP 	slider: markerPos = None
50.2537 	EXP 	slider: rating = None
50.2537 	EXP 	image: autoDraw = True
50.2537 	EXP 	image_2: autoDraw = True
50.2537 	EXP 	slider: autoDraw = True
50.2537 	EXP 	text: autoDraw = True
52.8899 	DATA 	Mouse: Left button down, pos=(859,177)
52.9025 	EXP 	slider: markerPos = 5.158333333333333
52.9025 	EXP 	unnamed Circle: pos = array([[ 0.15444444, -0.3       ]])
52.9210 	EXP 	slider: markerPos = 5.158333333333333
52.9380 	EXP 	slider: markerPos = 5.158333333333333
52.9547 	EXP 	slider: markerPos = 5.158333333333333
52.9709 	EXP 	slider: markerPos = 5.158333333333333
52.9875 	EXP 	slider: markerPos = 5.158333333333333
53.0048 	EXP 	slider: markerPos = 5.158333333333333
53.0212 	EXP 	slider: markerPos = 5.158333333333333
53.0270 	DATA 	Mouse:  Left button up, pos=(859,177)
53.0381 	EXP 	slider: markerPos = 5.158333333333333
53.0538 	EXP 	slider: markerPos = 5.158333333333333
53.0538 	EXP 	slider: rating = 5.158333333333333
53.0538 	EXP 	unnamed Circle: pos = array([[ 0.15444444, -0.3       ]])
53.0560 	EXP 	New trial (rep=0, index=15): OrderedDict([('color1', 'chartrueuse_green'), ('color2', 'yellow'), ('color1a', 'chartrueuse_green.png'), ('color2a', 'yellow.png')])
53.0713 	EXP 	image: autoDraw = False
53.0713 	EXP 	image_2: autoDraw = False
53.0713 	EXP 	slider: autoDraw = False
53.0713 	EXP 	text: autoDraw = False
53.0713 	EXP 	image: image = 'chartrueuse_green.png'
53.0713 	EXP 	image_2: image = 'yellow.png'
53.0713 	EXP 	slider: markerPos = None
