.thisTrialN,.stepSize,.intensity,.response,key_resp_2.rt,Face,participant,date,expName,psychopyVersion,frameRate,
124,4,0.02197593774060766,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
125,4,0.025674016905313984,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
126,4,0.023443779686471294,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
127,4,0.021257817350396793,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
128,4,0.0191129666941217,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
129,4,0.017071341595914807,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
130,4,0.015009422567212632,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
131,4,0.012915329448372509,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
132,4,0.010863193926031356,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
133,4,0.008890618376416332,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
134,4,0.01232149209276448,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
135,4,0.010279086980883964,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
136,4,0.008383577565311676,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
137,4,0.011736193115649163,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
138,4,0.009733347994113364,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
139,4,0.007887084325424648,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
140,4,0.006030046112246418,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
141,4,0.009226472579903375,0,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
142,4,0.012556304820296071,1,0,Real,ideal,2019_Mar_17_1935,Face-Threshold,3.0.4,59.88807661207037,
